City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Ban Dung,TH,2022-04-24 18:58:58,17.699,103.2596,80.11,99,20,4.05
95,Imbituba,BR,2022-04-24 18:58:59,-28.24,-48.6703,75.85,70,0,13.96
96,Jalu,LY,2022-04-24 18:58:59,29.0331,21.5482,82.33,14,100,8.12
97,Luderitz,NA,2022-04-24 18:59:00,-26.6481,15.1594,59.0,56,0,23.47
98,Wageningen,NL,2022-04-24 18:55:02,51.9667,5.6667,57.94,56,20,14.97
99,Kapaa,US,2022-04-24 18:59:00,22.0752,-159.319,76.12,81,27,7.0
100,Linfen,CN,2022-04-24 18:59:01,36.0889,111.5189,66.7,54,100,8.16
101,Vila Velha,BR,2022-04-24 18:54:23,-20.3297,-40.2925,82.35,78,20,18.99
102,Lagoa,PT,2022-04-24 18:59:01,39.05,-27.9833,57.76,74,5,21.07
103,Nikolskoye,RU,2022-04-24 18:55:43,59.7035,30.7861,45.88,90,100,10.63
104,Marzuq,YE,2022-04-24 18:59:02,14.4,46.4667,71.17,64,7,7.83
105,Rafraf,TN,2022-04-24 18:59:02,37.1904,10.1837,62.91,76,41,7.78
106,Khatanga,RU,2022-04-24 18:59:03,71.9667,102.5,-14.69,100,100,4.79
107,Antalaha,MG,2022-04-24 18:59:03,-14.9003,50.2788,74.77,87,43,6.55
108,Mahebourg,MU,2022-04-24 18:57:20,-20.4081,57.7,75.49,78,75,16.11
109,Comodoro Rivadavia,AR,2022-04-24 18:59:04,-45.8667,-67.5,64.26,36,40,13.8
110,Hermanus,ZA,2022-04-24 18:59:04,-34.4187,19.2345,50.81,79,67,5.61
111,San Cristobal,VE,2022-04-24 18:59:05,7.7669,-72.225,69.98,57,67,4.76
112,Albany,US,2022-04-24 18:56:53,42.6001,-73.9662,69.24,33,90,1.01
113,Oussouye,SN,2022-04-24 18:59:06,12.485,-16.5469,98.78,39,36,10.71
114,Kloulklubed,PW,2022-04-24 18:59:06,7.0419,134.2556,81.34,79,88,15.82
115,Carmelo,UY,2022-04-24 18:59:06,-33.9892,-58.2856,75.92,35,3,15.9
116,Chiredzi,ZW,2022-04-24 18:59:07,-21.05,31.6667,71.26,62,0,4.68
117,Mar Del Plata,AR,2022-04-24 18:54:22,-38.0023,-57.5575,76.95,58,0,15.99
118,Shache,CN,2022-04-24 18:59:07,38.4167,77.2406,70.86,16,46,4.99
119,Prattville,US,2022-04-24 18:59:08,32.464,-86.4597,84.09,53,40,9.22
120,Praya,CV,2022-04-24 18:59:08,14.9215,-23.5087,82.94,42,0,14.97
