City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
533,Dunyapur,PK,89.1,few clouds,29.7995,71.7196,Ghulam Abbas House
535,Gilbues,BR,78.31,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
538,Panuco,MX,82.58,scattered clouds,22.05,-98.1667,Hotel Plaza
541,Tautira,PF,80.24,light rain,-17.7333,-149.15,Pension Oaoa
542,Jalu,LY,83.23,broken clouds,29.0331,21.5482,صاحبة الفخامة
546,Nanakuli,US,84.15,few clouds,21.3906,-158.1547,Camp Pālehua
548,Santa Luzia,BR,77.34,clear sky,-19.7697,-43.8514,Pousada Chao Earth
549,Jieshi,CN,76.53,few clouds,22.8134,115.8257,Yuehai Hotel
551,Bo Rai,TH,79.74,overcast clouds,12.5728,102.5371,Baiboon Resort
557,Santa Isabel Do Rio Negro,BR,78.75,overcast clouds,-0.4139,-65.0192,Hotel GSA
565,Belmonte,BR,76.8,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
570,Ajdabiya,LY,75.7,clear sky,30.7554,20.2263,Almadina Hotel
573,Katsina,NG,87.28,scattered clouds,12.9894,7.6006,Katsina Motel
579,Martapura,ID,77.09,moderate rain,-3.4167,114.85,Montana Hotel Syariah
582,Natchitoches,US,85.05,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
586,Harunabad,PK,89.98,clear sky,29.6133,73.1389,Waseela Guest House
594,Thinadhoo,MV,84.78,overcast clouds,0.5333,72.9333,
597,Iquitos,PE,82.44,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
598,Tecoanapa,MX,87.49,clear sky,16.5167,-98.75,Hotel Manglares
600,Manaure,CO,82.69,overcast clouds,11.7751,-72.4445,Hotel Palaaima
602,Villarrica,PY,76.33,broken clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
604,Hambantota,LK,80.6,overcast clouds,6.1241,81.1185,Bungalow 63
605,Robertsport,LR,80.67,moderate rain,6.7533,-11.3686,Kwepunha Retreat
606,Prado,BR,76.23,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
611,Mamallapuram,IN,85.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
616,Coahuayana,MX,88.79,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
617,Pilar,BR,76.93,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
621,Itaituba,BR,78.03,light rain,-4.2761,-55.9836,Hotel Campos
625,Omboue,GA,78.12,overcast clouds,-1.5746,9.2618,Hotel Olako
627,Morgan City,US,84.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
628,Benguela,AO,75.7,light rain,-12.5763,13.4055,Hotel Praia Morena
629,Merauke,ID,78.66,overcast clouds,-8.4667,140.3333,
630,Bilma,NE,86.99,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
632,Palora,EC,77.11,light rain,-1.7,-77.9333,Rancho grande
635,Ouro Preto Do Oeste,BR,77.52,broken clouds,-10.7481,-62.2158,Graúna Resort Hotel
637,Mecca,SA,82.85,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
638,Sinnamary,GF,78.75,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
639,Banfora,BF,80.46,broken clouds,10.6333,-4.7667,Residences David Hebié
640,Meulaboh,ID,77.5,broken clouds,4.1363,96.1285,Kost Pria
641,Sioux City,US,78.39,few clouds,42.5,-96.4003,Hilton Garden Inn Sioux City Riverfront
644,Jacareacanga,BR,76.01,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
647,Sorong,ID,76.87,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
648,Marsh Harbour,BS,75.42,clear sky,26.5412,-77.0636,Abaco Beach Resort
654,The Valley,AI,78.94,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
656,Tonj,SS,78.93,overcast clouds,7.2737,28.6822,Lakan Hotel
661,Cockburn Town,TC,75.24,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
664,Hobyo,SO,83.57,clear sky,5.3505,48.5268,Iftin hotel hobyo
668,Diffa,NE,87.33,broken clouds,13.3154,12.6113,ProDAF/Diffa
671,Iralaya,HN,79.93,clear sky,15.0,-83.2333,Iglesia morava renovada
672,Lagunas,PE,77.31,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
674,Baudh,IN,84.25,clear sky,20.8416,84.3213,Hotel Parijat Palace
675,Ilhabela,BR,78.28,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
676,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
680,Socorro,US,88.81,clear sky,31.6546,-106.3033,guarderia imss papalote
682,Pakxan,LA,77.13,moderate rain,18.3778,103.6601,Kong Kham Pheng Guesthouse
687,Inirida,CO,79.43,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
688,Minas De Barroteran,MX,88.9,clear sky,27.6333,-101.2833,Motel Venecia
690,Palembang,ID,77.09,moderate rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
692,Ternate,ID,80.46,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
694,Mareeba,AU,75.43,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
697,Tabas,IR,80.82,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
701,Ascension,US,84.06,clear sky,30.2169,-90.9001,Highland Inn
702,Kudat,MY,78.73,few clouds,6.8837,116.8477,Dream Garden Hotel
