City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Kiunga,PG,-6.1219,141.2906,74.73,97,96,1.61,overcast clouds
136,Cabo San Lucas,MX,22.8909,-109.9124,88.9,26,0,8.05,clear sky
137,Port Alfred,ZA,-33.5906,26.891,66.88,53,10,11.1,clear sky
138,Hilton Head Island,US,32.2163,-80.7526,75.25,53,0,4.61,clear sky
139,Slave Lake,CA,55.2834,-114.769,37.38,93,75,4.61,broken clouds
140,Trairi,BR,-3.2778,-39.2689,76.96,92,48,6.87,scattered clouds
141,Le Port,RE,-20.9373,55.2919,76.96,72,56,9.17,broken clouds
142,Agudos,BR,-22.4692,-48.9875,84.45,59,0,1.14,clear sky
143,Campos,BR,-21.75,-41.3,72.86,94,27,7.27,scattered clouds
144,Chuy,UY,-33.6971,-53.4616,56.61,70,0,8.32,clear sky
145,Patacamaya,BO,-17.2333,-67.9167,53.6,48,9,10.8,clear sky
146,Tazmalt,DZ,36.3868,4.3989,56.82,92,100,4.59,light rain
147,Victoria,HK,22.2855,114.1577,80.33,88,16,1.01,few clouds
148,Omsukchan,RU,62.5333,155.8,26.96,93,100,9.75,overcast clouds
149,Esperance,AU,-33.8667,121.9,51.64,72,82,11.07,broken clouds
150,San Jose,US,37.3394,-121.895,67.15,45,40,19.57,scattered clouds
151,El Dorado,US,38.7666,-120.5177,60.4,43,1,4,clear sky
152,Korla,CN,41.7597,86.1469,50.79,57,88,6.38,overcast clouds
153,Matagami,CA,49.7502,-77.6328,42.91,28,0,12.66,clear sky
154,Tasiilaq,GL,65.6145,-37.6368,32.16,86,5,5.23,clear sky
155,Alofi,NU,-19.0595,-169.9187,80.49,89,75,17.27,light intensity shower rain
156,Poykovskiy,RU,61.2333,73.3333,35.89,100,100,4.47,fog
157,Matara,LK,5.9485,80.5353,79.95,84,100,5.08,overcast clouds
158,Avera,US,33.194,-82.5271,78.55,34,2,7.11,clear sky
159,Tambopata,PE,-12.7333,-69.1833,81.61,71,100,1.1,overcast clouds
160,Clyde River,CA,70.4692,-68.5914,7.03,85,75,9.22,broken clouds
161,Ribeira Grande,PT,38.5167,-28.7,63,100,75,14.97,light intensity drizzle rain
162,Emba,KZ,48.8264,58.1442,56.05,37,3,4.56,clear sky
163,Lompoc,US,34.6391,-120.4579,72.57,61,0,23,clear sky
164,Kaitangata,NZ,-46.2817,169.8464,49.03,84,11,2.84,few clouds
165,Alice Springs,AU,-23.7,133.8833,69.35,32,30,5.75,scattered clouds
166,Dingle,PH,10.9995,122.6711,76.93,91,100,7.02,overcast clouds
167,Gnjilane,XK,42.4604,21.4699,48.52,81,1,4.72,clear sky
168,Biloela,AU,-24.4167,150.5,69.89,77,37,11.68,scattered clouds
169,Srednekolymsk,RU,67.45,153.6833,15.87,88,99,6.35,overcast clouds
170,Copiapo,CL,-27.3667,-70.3333,56.89,33,0,5.32,clear sky
171,Chara,RU,56.9064,118.2631,23.29,71,54,1.59,broken clouds
172,Zhigansk,RU,66.7697,123.3711,14.16,96,59,8.37,broken clouds
173,Inegol,TR,40.0781,29.5133,49.28,91,7,0.45,clear sky
174,Bahia Honda,CU,22.9036,-83.1592,80.19,57,32,11.03,scattered clouds
175,Boa Vista,BR,2.8197,-60.6733,85.98,58,75,8.05,broken clouds
176,Nanortalik,GL,60.1432,-45.2371,39.04,81,98,4.18,overcast clouds
177,Aklavik,CA,68.2191,-135.0107,19.4,68,40,4.61,scattered clouds
178,Buala,SB,-8.145,159.5921,83.17,77,93,5.23,overcast clouds
179,Plettenberg Bay,ZA,-34.0527,23.3716,60.35,71,10,3.44,clear sky
180,Sebeta,ET,8.9167,38.6167,58.69,75,98,3.78,light rain
181,La Ronge,CA,55.1001,-105.2842,52.05,46,40,10.36,scattered clouds
182,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.15,56,20,4.61,few clouds
183,Southbridge,US,42.0751,-72.0334,52.86,30,97,5.01,overcast clouds
184,Chaiya,TH,9.3862,99.1986,76.98,84,17,2.46,few clouds
185,Talara,PE,-4.5772,-81.2719,75.96,64,0,16.11,clear sky
186,Dongsheng,CN,39.8161,109.9776,46.72,57,99,11.18,overcast clouds
187,Provideniya,RU,64.3833,-173.3,30.36,80,75,15.99,broken clouds
188,Sitka,US,57.0531,-135.33,49.89,62,20,8.05,few clouds
189,Karia,NG,11.7306,11.1629,92.46,12,98,4.03,overcast clouds
190,Husavik,IS,66.0449,-17.3389,42.84,67,18,3.4,few clouds
191,Phan Thiet,VN,10.9333,108.1,78.26,91,100,5.39,overcast clouds
192,Jizan,SA,17.3333,42.6667,86.94,61,3,2.62,clear sky
193,Lebu,CL,-37.6167,-73.65,52.56,75,7,15.5,clear sky
194,Bridlington,GB,54.0831,-0.1919,44.89,79,100,4.76,overcast clouds
195,Vardo,NO,70.3705,31.1107,23.95,67,99,24.92,light snow
196,Sardarshahr,IN,28.4333,74.4833,86.25,9,43,12.08,scattered clouds
197,Dicabisagan,PH,17.0818,122.4157,79.07,88,66,3.65,broken clouds
198,Constitucion,CL,-35.3333,-72.4167,54.93,62,0,11.05,clear sky
199,Saint-Augustin,CA,51.226,-58.6502,34.23,99,100,13.24,snow
200,Hualmay,PE,-11.0964,-77.6139,68.65,84,88,7.63,overcast clouds
201,Naze,JP,28.3667,129.4833,72.52,90,77,17.6,broken clouds
202,Katangli,RU,51.7102,143.2326,30.96,80,100,19.91,overcast clouds
203,Yellowknife,CA,62.456,-114.3525,37.92,52,20,20.71,few clouds
204,Batemans Bay,AU,-35.7167,150.1833,63.1,80,5,4.59,clear sky
205,Ancud,CL,-41.8697,-73.8203,46.58,76,76,1.12,broken clouds
206,Walvis Bay,NA,-22.9575,14.5053,74.35,35,1,6.91,clear sky
207,Dire,ML,12.2833,-10.9667,89.22,24,5,3.4,clear sky
208,Kulim,MY,5.365,100.5618,78.35,91,28,1.95,scattered clouds
209,Necochea,AR,-38.5473,-58.7368,51.76,55,89,16.06,overcast clouds
210,Chokurdakh,RU,70.6333,147.9167,0.05,97,99,3.85,overcast clouds
211,Oga,IT,46.4631,10.347,45.28,80,3,2.42,clear sky
212,Baft,IR,29.234,56.6057,56.86,27,0,1.72,clear sky
213,Skjervoy,NO,70.0311,20.9714,31.53,64,100,29.12,light snow
214,Banda Aceh,ID,5.5577,95.3222,80.73,81,82,6.6,broken clouds
215,Novopokrovka,UA,49.8425,36.5477,50.4,66,85,5.48,overcast clouds
216,Vestmannaeyjar,IS,63.4427,-20.2734,46.26,81,18,2.93,few clouds
217,Zilair,RU,52.2332,57.4392,50.76,88,33,3.44,scattered clouds
218,Locri,IT,38.2414,16.2623,64.31,66,100,5.12,overcast clouds
219,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.64,87,10,11.72,clear sky
220,Bograd,RU,54.2344,90.8328,48.87,51,100,6.62,overcast clouds
221,San Luis,AR,-33.295,-66.3356,52.16,26,0,16.69,clear sky
222,Luderitz,NA,-26.6481,15.1594,60.33,69,8,6.67,clear sky
223,Baillif,GP,16.0202,-61.7463,74.7,80,100,9.95,overcast clouds
224,Vuktyl,RU,63.8567,57.3094,22.23,85,8,4.05,clear sky
225,Lavrentiya,RU,65.5833,-171,30.24,88,64,9.64,broken clouds
226,Santa Marta,CO,11.2408,-74.199,82.89,74,100,11.99,overcast clouds
227,Eenhana,NA,-17.4667,16.3333,69.58,55,28,6.33,scattered clouds
228,Murud,IN,18.3258,72.965,81.19,86,0,4.65,clear sky
229,Maragogi,BR,-9.0122,-35.2225,77.58,83,100,9.6,overcast clouds
230,Haimen,CN,23.1935,116.6142,75.09,85,100,3.42,overcast clouds
231,Marienburg,PL,54.0359,19.0266,41.88,60,21,0.72,few clouds
232,Tommot,RU,58.9564,126.2925,26.44,83,100,1.86,overcast clouds
233,Hithadhoo,MV,-0.6,73.0833,84.69,69,79,8.01,broken clouds
234,Xinqing,CN,48.2333,129.5,38.86,43,4,3.87,clear sky
235,Lowestoft,GB,52.4752,1.7516,47.44,79,100,9.89,overcast clouds
236,Peniche,PT,39.3558,-9.3811,59.29,91,33,12.86,scattered clouds
